Date,Weight,Fat mass,Comments
6/13/15 7:19,177.4,40.6,
6/12/15 6:08,178.5,39.3,
6/11/15 6:09,179,40.6,
6/10/15 6:01,179.7,40.7,
6/9/15 6:16,179.8,40.7,
6/8/15 6:19,179,41.5,
6/7/15 9:57,177.2,41.3,
6/6/15 8:10,178,41.4,
6/2/15 6:00,177.1,40.4,
6/1/15 6:23,177.7,41.7,
5/29/15 5:58,178.5,42,
5/28/15 6:19,178.7,40.6,
5/27/15 5:57,179.2,41,
5/26/15 5:54,177.2,40.4,
5/25/15 8:36,178.1,41.2,
5/23/15 7:40,176.7,40.7,
5/22/15 6:46,176.4,40.2,
5/20/15 6:12,178.9,40.5,
5/19/15 6:05,179,41.3,
5/17/15 7:18,178.8,40.6,
5/16/15 8:57,178.2,41.6,
5/15/15 6:16,178.7,42.5,
5/14/15 6:19,178.6,41.7,
5/13/15 6:22,178.4,41.8,
5/12/15 7:20,178.8,40.3,
5/11/15 6:06,179,39.5,
5/10/15 9:13,177.5,40.9,
5/9/15 7:35,178.6,40.6,
5/8/15 6:10,179.1,41.2,
5/7/15 6:45,178.6,40.9,
5/6/15 7:13,179.1,41.6,
5/5/15 6:50,179.3,40,
5/4/15 6:51,178.7,41.3,
5/1/15 6:39,178.6,40.9,
4/30/15 7:02,178,40.6,
4/28/15 6:55,179.6,41,
4/27/15 6:23,180.4,42.4,
4/24/15 6:21,179.9,42.5,
4/23/15 7:07,179.5,42.4,
4/22/15 7:21,179.1,41,
4/21/15 6:33,179,41.4,
4/20/15 6:32,177.6,40.8,
4/19/15 8:04,179.3,41.8,
4/18/15 8:00,178.4,41.5,
4/17/15 7:01,179.1,40.3,
4/16/15 5:57,178.7,41.1,
4/15/15 6:03,179.1,,
4/14/15 6:31,177.6,40.4,
4/13/15 6:05,178.1,42.7,
4/12/15 10:06,179.7,42.4,
4/9/15 7:27,180.1,42.8,
4/8/15 6:57,181.2,43,
3/30/15 6:26,179.2,42.2,
3/25/15 6:18,180.3,42.2,
3/16/15 6:18,182.3,42.6,
3/13/15 6:59,179.9,43.3,
3/12/15 7:04,179.8,41.5,
3/11/15 6:17,180.9,43.3,
3/10/15 5:51,180.7,42.4,
3/9/15 6:41,181.8,42.2,
3/6/15 7:02,182.4,41.8,
3/5/15 7:21,180.2,41.1,
3/4/15 6:49,180.4,40.8,
3/3/15 6:41,179,42.7,
3/2/15 6:25,181.2,42.8,
2/28/15 8:33,179.9,42.8,
2/27/15 6:11,179.9,42.2,
2/26/15 7:18,179.9,41.7,
2/23/15 7:50,179.6,41,
2/20/15 6:37,181,42.6,
2/16/15 8:09,180.7,40.5,
2/13/15 6:27,179.5,42.5,
2/11/15 6:24,179.7,41.9,
2/10/15 6:27,179.8,40.5,
2/9/15 7:40,180.8,39.8,
2/8/15 10:52,180.4,,
2/6/15 6:34,180.9,41.5,
2/5/15 6:32,180,42,
2/4/15 6:39,180.2,42.4,
2/3/15 7:36,179.5,41.5,
1/30/15 5:55,178.1,40.4,
1/29/15 5:50,178.7,41.2,
1/29/15 5:49,178.6,41.2,
1/27/15 8:11,178.6,40.8,
1/26/15 6:40,179.2,41.6,
1/23/15 6:39,178.4,41,
1/22/15 6:25,180,41.2,
1/21/15 6:23,178.2,41.2,
1/20/15 6:13,178.9,40.9,
1/17/15 8:37,178.5,41,
1/16/15 6:17,180.6,41.6,
1/15/15 6:22,182.5,42,
1/14/15 6:32,180.6,42.2,
1/13/15 6:06,178.6,40.1,
1/9/15 6:20,179.9,42.7,
1/8/15 6:34,179.7,42.2,
1/7/15 6:40,179.1,42.9,
1/6/15 5:54,177.5,,
1/5/15 6:10,179.2,41.8,
1/4/15 8:38,180.4,42.6,
1/3/15 8:35,180.4,43.5,
12/25/14 14:07,179.6,41.2,
12/24/14 9:19,179.5,,
12/23/14 8:02,179.5,41.2,
12/20/14 10:36,180.2,42.1,
12/19/14 6:16,178.8,41.7,
12/18/14 6:55,178.4,41.6,
12/17/14 6:43,178.4,40.9,
12/16/14 6:26,179.1,42.4,
12/15/14 6:17,179.2,42.4,
12/14/14 7:43,178.8,,
12/11/14 6:09,179.3,42,
12/10/14 6:20,179.2,41.8,
12/9/14 6:44,179.1,42.4,
12/8/14 6:43,178.8,40.6,
12/7/14 9:04,180.7,42.6,
12/5/14 6:18,181,42.3,
12/4/14 6:20,178.9,41.2,
12/3/14 6:23,178.9,42.3,
12/2/14 6:20,179.5,41.9,
12/1/14 6:07,179.2,42,
11/30/14 9:40,180.3,43.6,
11/25/14 6:14,179.3,40.6,
