Date,Weight,"Fat mass",Comments
"2016-01-14 06:20:09",182,41.9,
"2016-01-10 10:05:14",179,,
"2016-01-09 08:05:40",178.2,43.5,
"2016-01-08 06:25:32",178.7,43.3,
"2016-01-07 06:45:10",179.5,41.2,
"2016-01-06 06:31:10",180.3,42.8,
"2016-01-05 07:00:26",179.5,42.6,
"2016-01-04 06:43:32",180.6,41.9,
"2016-01-02 10:43:21",179.8,41.2,
"2015-12-26 08:48:29",180,,
"2015-12-23 07:07:10",179.2,41.7,
"2015-12-22 06:12:39",179,,
"2015-12-21 06:16:58",180.7,,
"2015-12-18 07:03:25",181.9,42.3,
"2015-12-17 07:53:36",180.7,40.7,
"2015-12-16 06:13:48",180.2,42.6,
"2015-12-15 06:50:15",181.8,41.2,
"2015-12-14 07:54:58",180.8,42.3,
"2015-12-12 09:00:10",180.3,44.2,
"2015-12-11 06:39:16",181.1,42.4,
"2015-12-10 06:39:27",181,42.1,
"2015-12-09 06:27:31",179.9,43.7,
"2015-12-08 06:48:50",179.7,42.6,
"2015-12-07 05:56:41",180.3,42.7,
"2015-12-05 10:08:27",180,42.5,
"2015-12-04 06:44:11",180.7,42.7,
"2015-12-03 07:54:35",181.4,41.8,
"2015-12-02 06:49:20",180.2,42.3,
"2015-12-01 06:45:50",181.1,41.9,
"2015-11-30 06:31:50",180.6,41,
"2015-11-27 08:48:46",179.5,42.3,
"2015-11-26 09:46:15",177.7,42.9,
"2015-11-25 07:07:00",178.7,43.9,
"2015-11-24 06:45:03",180.3,41.8,
"2015-11-23 06:20:28",181.3,41.8,
"2015-11-22 08:06:57",178.8,40.3,
"2015-11-20 06:41:07",178.9,42.1,
"2015-11-19 06:28:27",178.6,40.3,
"2015-11-18 06:43:55",177.8,41.7,
"2015-11-17 06:38:22",179.5,42.1,
"2015-11-16 06:24:14",180.4,42.1,
"2015-11-15 10:27:09",180.6,42.7,
"2015-11-13 07:03:59",180,43.2,
"2015-11-12 07:31:11",179.2,41.4,
"2015-11-11 06:40:27",178.7,41.4,
"2015-11-10 06:07:35",179.7,41.9,
"2015-11-09 06:08:50",180.4,41,
"2015-11-07 08:32:31",178.5,42,
"2015-11-06 07:27:18",178,41.1,
"2015-11-05 07:40:37",177.8,41.7,
"2015-11-04 06:39:34",179,41.5,
"2015-11-03 06:32:01",179,40.7,
"2015-10-31 08:12:42",177.9,41.7,
"2015-10-30 06:17:38",179.2,41.7,
"2015-10-29 06:22:14",178.4,40.9,
"2015-10-28 06:12:34",177.5,41.1,
"2015-10-27 05:42:12",178.1,41.8,
"2015-10-26 06:03:13",179.5,41.5,
"2015-10-24 10:13:19",179,41,
"2015-10-23 06:11:55",178.4,41.4,
"2015-10-22 06:03:28",179.1,41.6,
"2015-10-21 07:01:33",177.9,40.4,
"2015-10-20 07:15:24",178.1,40.8,
"2015-10-19 06:30:22",178.5,41.6,
"2015-10-18 08:52:29",178.8,40.6,
"2015-10-17 08:24:10",178.5,40.7,
"2015-10-16 06:12:57",178,41.8,
"2015-10-15 07:12:09",177.8,41.2,
"2015-10-14 06:53:15",178.9,40.1,
"2015-10-13 06:35:44",178,39.2,
"2015-10-12 05:49:44",176.8,39.9,
"2015-10-11 08:39:16",176.7,,
"2015-10-10 08:52:51",179.1,42.1,
"2015-10-09 06:40:40",177.4,40.6,
"2015-10-08 06:09:01",177.1,41.5,
"2015-10-07 06:05:02",176.1,39.8,
"2015-10-06 06:08:31",176.7,41.2,
"2015-10-05 06:07:20",177.1,40.2,
"2015-10-04 07:31:27",176.7,39.7,
"2015-10-03 09:00:12",177.9,41.5,
"2015-10-02 06:23:54",177.8,41.6,
"2015-10-01 06:10:28",177.8,39.5,
"2015-09-30 06:11:42",177.7,39.7,
"2015-09-29 06:08:22",176.8,40,
"2015-09-28 05:59:55",177.6,41.2,
"2015-09-27 08:10:06",177.5,40.8,
"2015-09-26 08:28:21",175.9,42,
"2015-09-25 06:01:03",177.9,40.5,
"2015-09-24 07:01:15",176.9,40.2,
"2015-09-23 07:03:24",176.9,40.9,
"2015-09-22 06:04:49",176.6,39,
"2015-09-21 06:02:48",177.2,39.9,
"2015-09-20 07:40:39",177.9,40.6,
"2015-09-19 09:37:30",178.1,41.4,
"2015-09-18 06:03:30",178,40.2,
"2015-09-17 06:01:16",178.1,40.5,
"2015-09-16 06:02:30",176.7,41.7,
"2015-09-15 06:04:04",179.1,40.9,
"2015-09-14 07:37:57",179.7,41,
"2015-09-13 05:29:43",178.6,40.3,
"2015-09-12 08:10:33",177.6,41,
"2015-09-11 06:03:30",177.7,39.5,
"2015-09-10 05:52:52",177.4,40,
"2015-09-09 06:02:28",177.4,40.1,
"2015-09-08 06:05:48",178.1,40.4,
"2015-09-07 08:02:19",179.3,40.2,
"2015-09-06 07:28:02",179.9,40.7,
"2015-09-05 09:14:17",179.2,41.1,
"2015-09-04 05:55:53",179.6,41.2,
"2015-09-03 05:52:23",178.2,41.2,
"2015-09-02 06:52:15",177.9,42.6,
"2015-09-01 06:11:57",177.8,42.2,
"2015-08-31 06:10:26",179.2,41.6,
"2015-08-30 08:21:50",180.1,,
"2015-08-29 07:17:21",180.2,41.6,
"2015-08-28 05:49:36",177.9,,
"2015-08-27 06:54:51",180.7,41.8,
"2015-08-26 06:39:23",179.2,41.5,
"2015-08-25 05:57:33",179.1,42.5,
"2015-08-24 05:52:33",179.2,43.1,
"2015-08-23 11:39:47",180.6,43.3,
"2015-08-04 06:14:42",180.8,42.7,
"2015-08-03 06:07:54",180.9,41.3,
"2015-08-02 10:35:27",179.8,40.9,
"2015-08-01 08:05:14",181.8,41.4,
"2015-07-28 06:36:56",180.3,41.6,
"2015-07-27 08:23:53",179,39.4,
"2015-07-23 08:09:16",179.1,42.2,
"2015-07-22 06:37:59",181.2,,
"2015-07-21 06:59:29",179.1,40.4,
"2015-07-20 06:07:34",180.3,41.6,
"2015-07-17 08:08:23",179.8,42.3,
"2015-07-16 06:14:42",179.8,40.9,
"2015-07-15 06:59:59",179.1,41.3,
"2015-07-12 09:48:04",179.7,37.9,
"2015-07-11 08:29:44",179.6,41.3,
"2015-07-10 08:24:32",178.6,38.8,
"2015-07-09 07:12:54",179.2,40.9,
"2015-07-08 07:37:53",180.1,39.2,
"2015-07-07 07:23:29",178.2,40.5,
"2015-07-06 06:16:16",178.5,40.2,
"2015-07-04 07:58:41",179.5,38.5,
"2015-07-03 08:35:54",179.5,40.3,
"2015-07-02 07:43:57",178.6,38.8,
"2015-07-02 06:45:21",179.7,41.4,
"2015-07-01 07:20:19",178,42.1,
"2015-06-30 06:23:13",178.2,41.5,
"2015-06-29 06:38:50",181.4,42.1,
"2015-06-27 07:58:39",179.7,40.9,
"2015-06-26 07:49:53",179,40.5,
"2015-06-25 06:40:24",180.1,41.3,
"2015-06-24 06:23:31",179.9,42.5,
"2015-06-22 06:37:09",180.6,38.2,
"2015-06-20 07:13:30",179.3,41,
"2015-06-19 06:04:40",179.9,40.1,
"2015-06-18 05:59:18",178.7,42.2,
"2015-06-17 06:25:46",179.2,43.2,
"2015-06-16 05:58:27",179.8,41.3,
"2015-06-15 06:10:17",178.5,40.1,
"2015-06-14 09:09:54",179.3,39.9,
"2015-06-13 07:19:41",177.4,40.6,
"2015-06-12 06:08:53",178.5,39.3,
"2015-06-11 06:09:23",179,40.6,
"2015-06-10 06:01:09",179.7,40.7,
"2015-06-09 06:16:55",179.8,40.7,
"2015-06-08 06:19:40",179,41.5,
"2015-06-07 09:57:46",177.2,41.3,
