"","Time","Name","Lon","Lat","Description","newtime"
"73","Fri, 06 Feb 15 18:18:17 +0000","Tribeca's Kitchen",-74.0070570566676,40.7160622687403,"@",2015-02-06
"74","Tue, 03 Feb 15 23:12:32 +0000","Bistro 73",-74.572052866597,40.7168333195418,"@",2015-02-03
"75","Tue, 03 Feb 15 01:05:51 +0000","Laku Sushi",-74.4573282918689,40.7955590322989,"@",2015-02-03
"76","Sat, 31 Jan 15 01:36:00 +0000","The Keg Room",-73.9866443880751,40.7510385105426,"@",2015-01-31
"77","Fri, 30 Jan 15 18:30:31 +0000","AT&amp;T",-74.0058806757492,40.7166293803501,"@",2015-01-30
"78","Fri, 30 Jan 15 14:23:47 +0000","Sun In Bloom",-74.0078145273811,40.7156771676595,"@",2015-01-30
"79","Thu, 29 Jan 15 00:23:05 +0000","Morristown &amp; Morris Township Library",-74.4785644168987,40.7937708232921,"@",2015-01-29
"80","Sun, 25 Jan 15 21:13:36 +0000","Starbucks",-75.1950657452439,40.9850814264102,"@",2015-01-25
"81","Sun, 18 Jan 15 01:13:58 +0000","Big Boulder Ski Area",-75.6025852623262,41.0501167317192,"@",2015-01-18
"82","Sat, 10 Jan 15 21:42:15 +0000","Big Boulder Ski Area",-75.6030342699703,41.0498603199171,"@",2015-01-10
"83","Sat, 10 Jan 15 14:26:10 +0000","Jack Frost Ski Area",-75.6531723841199,41.1074558180953,"@",2015-01-10
"84","Fri, 02 Jan 15 17:40:36 +0000","Starbucks",-75.1952937033251,40.9850582048826,"@",2015-01-02
"85","Wed, 31 Dec 14 01:32:47 +0000","Van Gilder's Jubilee Restaurant",-75.455430666318,41.1081481978362,"@",2014-12-31
"86","Sat, 27 Dec 14 20:30:23 +0000","Callies Pretzel Factory",-75.2899700056441,41.1441049779477,"@",2014-12-27
"87","Sat, 27 Dec 14 18:38:48 +0000","Inn at Pocono Manor",-75.3584029387835,41.1004835535895,"@",2014-12-27
"88","Wed, 24 Dec 14 20:47:16 +0000","Presbyterian Church in Morristown",-74.4797663850937,40.7974750840277,"@",2014-12-24
"89","Mon, 22 Dec 14 17:38:51 +0000","3 West",-74.5760686883405,40.652466552771,"@",2014-12-22
"90","Sun, 14 Dec 14 14:57:15 +0000","RBIs",-74.6124928433038,40.8578701210842,"@",2014-12-14
"91","Sat, 13 Dec 14 19:10:25 +0000","The Artist Baker",-74.4817810942985,40.7991036804889,"@",2014-12-13
"92","Thu, 11 Dec 14 22:38:13 +0000","The Office Tavern Grill",-74.4809797922676,40.796096717295,"@",2014-12-11
"93","Thu, 11 Dec 14 18:08:20 +0000","Delicious Heights",-74.6457128573649,40.6806181690159,"@",2014-12-11
"94","Tue, 02 Dec 14 20:52:53 +0000","AT&amp;T",-74.6356028516866,40.6701642725126,"@",2014-12-02
"95","Mon, 01 Dec 14 22:45:32 +0000","Bravest on 38th",-73.9740984433179,40.7472550057309,"@",2014-12-01
"96","Wed, 26 Nov 14 21:01:06 +0000","SmartWorld Coffee",-74.473384412345,40.7941213712453,"@",2014-11-26
"97","Sat, 22 Nov 14 18:42:40 +0000","Starbucks",-73.9821047560458,40.7725394647589,"@",2014-11-22
"98","Sat, 22 Nov 14 18:40:30 +0000","Bar Boulud",-73.9827245857061,40.7714555342289,"@",2014-11-22
"99","Sat, 22 Nov 14 04:20:50 +0000","Krispy Kreme Doughnuts",-73.9942886332973,40.7503766053411,"@",2014-11-22
"100","Sat, 22 Nov 14 02:11:29 +0000","Providence",-73.9833271959588,40.767287203913,"@",2014-11-22
"101","Fri, 21 Nov 14 23:43:49 +0000","Carnegie Hall (Stern Auditorium/Perelman Stage)",-73.9796368959072,40.7653982716266,"@",2014-11-21
"102","Fri, 21 Nov 14 01:07:33 +0000","Amc Headquarters 10",-74.4809568978701,40.8009844324641,"@",2014-11-21
"103","Tue, 18 Nov 14 18:00:29 +0000","Delicious Heights",-74.6454784126467,40.6807363966717,"@",2014-11-18
"104","Sun, 16 Nov 14 00:27:53 +0000","Cottage II",-74.4774998096346,40.7932720952323,"@",2014-11-16
"105","Sat, 15 Nov 14 03:11:07 +0000","William G. Mennen Sports Arena",-74.4740312057783,40.8155186757098,"@",2014-11-15
"106","Thu, 13 Nov 14 17:31:06 +0000","Tonic Times Square",-73.9833960655817,40.759979763268,"@",2014-11-13
"107","Mon, 10 Nov 14 22:20:58 +0000","Church Publick",-74.0074989149484,40.7153862250259,"@",2014-11-10
"108","Mon, 10 Nov 14 19:28:52 +0000","Nish Nsh",-74.0076079447568,40.7155513380501,"@",2014-11-10
"109","Sat, 08 Nov 14 21:13:23 +0000","Casa Maya",-74.4704022632021,40.6900849730734,"@",2014-11-08
"110","Sat, 08 Nov 14 20:00:10 +0000","The Raptor Trust",-74.5038269122008,40.6963933915577,"@",2014-11-08
"111","Fri, 07 Nov 14 20:55:04 +0000","Starbucks",-74.5811197960566,41.1088987632529,"@",2014-11-07
"112","Fri, 07 Nov 14 18:21:25 +0000","Mountain Creek",-74.4900113992541,41.1753851381789,"@",2014-11-07
"113","Tue, 04 Nov 14 21:10:45 +0000","Egyptian Art @ The Metropolitan Museum of Art",-73.9628947857524,40.7804721982039,"@",2014-11-04
"114","Sun, 02 Nov 14 01:55:46 +0000","Bow Tie Cinemas Parsippany Cinema 12",-74.4267575243348,40.8704819935002,"@",2014-11-02
"115","Sun, 02 Nov 14 00:07:38 +0000","Macho Nacho",-74.4767156593015,40.7978526302869,"@",2014-11-02
"116","Sat, 01 Nov 14 00:46:17 +0000","Macho Nacho",-74.4765553945695,40.7979851100529,"@",2014-11-01
"117","Mon, 20 Oct 14 21:35:40 +0000","Church Publick",-74.007338239328,40.7153586289743,"@",2014-10-20
"118","Mon, 20 Oct 14 19:17:31 +0000","Laughing Man Coffee &amp; Tea",-74.0099951081381,40.7173910182005,"@",2014-10-20
"119","Mon, 20 Oct 14 18:35:42 +0000","AT&amp;T",-74.0060700448734,40.7164631078029,"@",2014-10-20
"120","Sat, 18 Oct 14 17:09:55 +0000","South Street Creamery",-74.4766927643487,40.7929101395361,"@",2014-10-18
"121","Fri, 17 Oct 14 23:33:51 +0000","Milano Gourmet Pizza",-74.4791310600718,40.7947419192964,"@",2014-10-17
"122","Fri, 17 Oct 14 23:33:41 +0000","SmartWorld Coffee",-74.4791367837309,40.7947475339108,"@",2014-10-17
"123","Fri, 17 Oct 14 22:01:12 +0000","SmartWorld Coffee",-74.4790623761481,40.7948242237204,"@",2014-10-17
"124","Thu, 16 Oct 14 23:00:13 +0000","Gallow Green (Rooftop Garden Bar at the McKittrick Hotel)",-74.004055836402,40.7507966925579,"@",2014-10-16
"125","Wed, 15 Oct 14 21:37:48 +0000","Inakaya",-73.9895253631006,40.7560884162798,"@",2014-10-15
"126","Wed, 15 Oct 14 16:26:02 +0000","Jacob K. Javits Convention Center",-74.0020014366933,40.7569076709135,"@",2014-10-15
"127","Sat, 11 Oct 14 15:21:45 +0000","Urban Table",-74.4741113393124,40.7964132923168,"@",2014-10-11
"128","Sat, 11 Oct 14 00:54:36 +0000","William G. Mennen Sports Arena",-74.4741800251698,40.8155053413984,"@",2014-10-11
"129","Wed, 08 Oct 14 16:05:29 +0000","Bistro at Red Bank",-74.065981579839,40.3518056068847,"@",2014-10-08
"130","Tue, 07 Oct 14 17:10:51 +0000","AT&amp;T",-74.6381990300789,40.6696406198664,"@",2014-10-07
"131","Sat, 04 Oct 14 22:34:18 +0000","Minado Restaurant",-74.4917341054812,40.8606837980157,"@",2014-10-04
"132","Tue, 30 Sep 14 22:26:51 +0000","Frelinghuysen Middle School",-74.5004904568588,40.8222454843516,"@",2014-09-30
"133","Fri, 26 Sep 14 23:16:12 +0000","Somerset Patriots Baseball @ TD Bank Ballpark",-74.5529220895896,40.5610956506103,"@",2014-09-26
"134","Fri, 26 Sep 14 16:30:38 +0000","Tasty Dumpling",-73.9998953671811,40.7147768166058,"@",2014-09-26
"135","Fri, 26 Sep 14 13:11:03 +0000","Grandaisy Bakery",-74.0056453986975,40.7200525863375,"@",2014-09-26
"136","Wed, 24 Sep 14 23:23:02 +0000","Tito's Burritos",-74.4827998873183,40.7974571894104,"@",2014-09-24
"137","Tue, 23 Sep 14 21:58:41 +0000","Trap Rock Restaurant &amp; Brewery",-74.4350132969848,40.6891596827103,"@",2014-09-23
"138","Sun, 21 Sep 14 13:50:04 +0000","SmartWorld Coffee",-74.4789994158611,40.7946079545826,"@",2014-09-21
"139","Thu, 18 Sep 14 15:57:26 +0000","twofiftytwo",-74.6455355943149,40.6796115091407,"@",2014-09-18
"140","Tue, 16 Sep 14 00:00:31 +0000","Tito's Burritos",-74.4828227814756,40.7973444563205,"@",2014-09-16
"141","Mon, 15 Sep 14 14:08:01 +0000","AT&amp;T",-74.6356085701845,40.6699907705704,"@",2014-09-15
"142","Mon, 08 Sep 14 12:46:07 +0000","AT&amp;T",-74.6353569560967,40.6734807950597,"@",2014-09-08
"143","Fri, 29 Aug 14 21:11:29 +0000","High Line",-74.0048821809039,40.7474543005261,"@",2014-08-29
"144","Fri, 29 Aug 14 19:47:20 +0000","Delaney Barbecue: SmokeLine",-74.0076882824705,40.7428095156247,"@",2014-08-29
"145","Fri, 29 Aug 14 16:05:09 +0000","AT&amp;T",-74.0035049380851,40.7180837250873,"@",2014-08-29
