Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2013-08-09 11:09:48,Cycling,,1.87,13:13,7:03,8.50,91.0,10.19,,,2013-08-09-1109.gpx
2013-08-01 08:45:25,Cycling,,6.17,53:26,8:40,6.92,335.0,142.08,,"Seattle vahey uw trek",2013-08-01-0845.gpx
2013-08-01 08:36:14,Cycling,,0.17,2:40,15:39,3.83,14.0,0.67,,,2013-08-01-0836.gpx
2013-07-30 08:15:23,Cycling,,7.27,1:04:14,8:50,6.79,375.0,110.21,,,2013-07-30-0815.gpx
2013-07-28 07:28:25,Cycling,,20.21,1:37:58,4:51,12.38,797.0,463.93,,,2013-07-28-0728.gpx
2013-07-27 19:43:36,Cycling,,1.23,10:25,8:27,7.11,61.0,27.58,,,2013-07-27-1943.gpx
2013-07-27 18:21:49,Running,"Home 2mi",1.63,16:25,10:05,5.95,213.0,30.00,,,2013-07-27-1821.gpx
2013-07-26 17:45:13,Cycling,,4.77,1:24:09,17:37,3.40,464.0,71.73,,,2013-07-26-1745.gpx
2013-07-26 06:49:39,Running,"Home 2mi",2.05,17:56,8:46,6.85,268.0,30.00,,,2013-07-26-0649.gpx
2013-07-20 07:03:13,Cycling,,19.07,1:41:05,5:18,11.32,795.0,436.98,,,2013-07-20-0703.gpx
2013-07-17 06:19:10,Running,"Home 2mi",2.02,18:20,9:05,6.60,267.0,30.18,,,2013-07-17-0619.gpx
2013-07-12 08:48:14,Cycling,,2.83,19:40,6:58,8.61,147.0,73.14,,,2013-07-12-0848.gpx
2013-07-07 08:28:15,Cycling,,8.86,1:19:30,8:58,6.69,492.0,125.78,,,2013-07-07-0828.gpx
2013-07-06 07:22:21,Cycling,,14.99,1:23:37,5:35,10.75,651.0,272.39,,,2013-07-06-0722.gpx
2013-06-20 18:25:54,Running,"Home 2mi",1.99,17:43,8:54,6.74,262.0,29.45,,,2013-06-20-1825.gpx
2013-06-16 07:24:06,Cycling,,12.55,1:08:35,5:28,10.98,537.0,217.74,,,2013-06-16-0724.gpx
2013-06-12 06:36:25,Running,"Home 2mi",2.01,17:27,8:40,6.92,266.0,30.91,,,2013-06-12-0636.gpx
2013-06-09 07:32:52,Cycling,,14.22,1:53:15,7:58,7.53,787.0,262.18,,,2013-06-09-0732.gpx
2013-06-05 18:38:40,Running,,2.03,18:07,8:56,6.72,271.0,29.64,,,2013-06-05-1838.gpx
2013-06-04 06:39:04,Running,,2.02,18:11,9:00,6.67,268.0,30.45,,,2013-06-04-0639.gpx
2013-06-01 08:21:48,Cycling,,4.76,47:57,10:05,5.95,283.0,76.55,,,2013-06-01-0821.gpx
2013-05-31 06:33:17,Running,,2.05,20:33,10:02,5.98,269.0,31.36,,,2013-05-31-0633.gpx
2013-05-28 06:49:01,Running,,1.25,12:13,9:49,6.12,160.0,11.18,,,2013-05-28-0649.gpx
2013-05-27 07:43:46,Cycling,,7.98,2:12:56,16:40,3.60,518.0,147.09,,,2013-05-27-0743.gpx
2013-03-11 07:01:07,Cycling,,0.00,20:00,,,0.0,,,,
2013-03-01 13:23:41,Downhill Skiing,,1.06,10:26,9:54,6.06,30.0,95.55,,,2013-03-01-1323.gpx
2013-03-01 12:39:10,Downhill Skiing,,2.21,13:45,6:13,9.65,52.0,72.52,,,2013-03-01-1239.gpx
2013-02-27 07:03:55,Cycling,,5.00,20:00,4:00,15.00,246.589186666667,,,,
2013-02-25 07:09:10,Cycling,,0.00,15:00,,,0.0,,,,
2013-02-19 07:11:23,Running,,1.50,20:00,13:20,4.50,172.2412278125,,,,
2013-02-16 12:11:08,Downhill Skiing,,0.74,4:20,5:51,10.25,17.0,0.33,,,2013-02-16-1211.gpx
2013-02-10 12:33:50,Downhill Skiing,,1.18,11:16,9:36,6.25,34.0,117.64,,,2013-02-10-1233.gpx
2013-02-10 12:24:55,Downhill Skiing,,0.70,4:17,6:09,9.75,16.0,0.00,,,2013-02-10-1224.gpx
2013-02-05 07:54:24,Running,,2.20,22:00,10:00,6.00,302.826892685813,,,,
2013-01-31 07:10:48,Cycling,"Ginty 5K",3.08,15:00,4:52,12.32,131.0,58.99,,,2013-01-31-0710.gpx
2013-01-29 07:44:23,Running,,2.09,24:00,11:29,5.22,297.086443763924,,,,
2013-01-28 07:07:00,Cycling,,4.10,15:00,3:40,16.40,242.0,,97,,
2013-01-24 17:52:36,Running,,2.11,22:00,10:26,5.75,289.041137096596,,,"148 bomb",
2013-01-17 17:46:51,Running,,2.14,21:00,9:49,6.11,289.718387638226,,,,
2013-01-10 17:46:45,Running,,1.12,12:42,11:20,5.29,156.665041495609,,,,
2013-01-03 18:07:14,Running,,1.60,17:00,10:37,5.65,220.184632478046,,,,
2012-12-20 18:06:22,Running,,1.60,15:00,9:22,6.40,215.661229420524,,,,
2012-12-20 17:42:51,Running,"Ginty 5K",3.08,16:00,5:12,11.55,394.0,58.99,,,2012-12-20-1742.gpx
2012-10-21 10:03:14,Running,"Ginty 5K",3.17,38:31,12:10,4.93,398.0,78.47,,,2012-10-21-1003.gpx
2012-10-20 15:20:16,Running,,2.06,54:20,26:22,2.28,262.0,23.36,,,2012-10-20-1520.gpx
2012-10-14 08:29:37,Cycling,,9.92,59:58,6:03,9.93,461.0,165.55,,,2012-10-14-0829.gpx
2012-09-29 11:15:00,Cycling,,7.63,1:02:42,8:13,7.30,357.0,112.56,,"kezia wipeout",2012-09-29-1115.gpx
2012-09-22 07:45:40,Cycling,,17.51,1:23:57,4:48,12.51,707.0,411.91,,,2012-09-22-0745.gpx
2012-09-22 07:45:06,Cycling,,0.01,0:09,15:23,3.90,1.0,0.00,,,2012-09-22-0745.gpx
2012-09-21 06:54:00,Running,"Home 2mi",2.04,17:04,8:23,7.16,266.0,30.82,,,2012-09-21-0654.gpx
2012-09-16 17:57:03,Running,,2.62,26:05,9:57,6.03,348.0,40.76,,,2012-09-16-1757.gpx
2012-09-16 12:15:17,Cycling,,7.73,1:20:26,10:24,5.77,454.0,121.30,,,2012-09-16-1215.gpx
