Date,Type,Value
2012-01-31 00:00:00,steps,6258.0
2012-03-31 00:00:00,steps,4372.0
2012-02-20 00:00:00,steps,12673.0
2012-05-10 00:00:00,steps,63.0
2012-05-30 00:00:00,steps,1384.0
2012-02-16 00:00:00,steps,5666.0
2012-03-07 00:00:00,steps,7204.0
2011-12-18 00:00:00,steps,8202.0
2012-06-22 00:00:00,steps,12745.0
2012-04-16 00:00:00,steps,4471.0
2012-03-27 00:00:00,steps,11059.0
2012-06-15 00:00:00,steps,10066.0
2012-04-23 00:00:00,steps,6487.0
2012-06-02 00:00:00,steps,12612.0
2011-11-28 00:00:00,steps,6675.0
2012-04-09 00:00:00,steps,5460.0
2012-03-20 00:00:00,steps,89.0
2012-04-29 00:00:00,steps,8708.0
2012-06-08 00:00:00,steps,19569.0
2012-06-28 00:00:00,steps,8373.0
2012-02-29 00:00:00,steps,8069.0
2012-02-09 00:00:00,steps,10852.0
2012-01-20 00:00:00,steps,6136.0
2011-12-11 00:00:00,steps,10746.0
2011-11-21 00:00:00,steps,11113.0
2012-06-01 00:00:00,steps,9530.0
2011-12-17 00:00:00,steps,9933.0
2012-01-13 00:00:00,steps,8059.0
2012-03-13 00:00:00,steps,6366.0
2012-06-21 00:00:00,steps,13334.0
2012-02-22 00:00:00,steps,11548.0
2012-04-22 00:00:00,steps,5724.0
2012-04-02 00:00:00,steps,8570.0
2011-12-10 00:00:00,steps,9973.0
2012-02-28 00:00:00,steps,7370.0
2012-04-08 00:00:00,steps,10252.0
2012-03-19 00:00:00,steps,6470.0
2011-11-20 00:00:00,steps,606.0
2012-02-08 00:00:00,steps,14873.0
2012-01-19 00:00:00,steps,6496.0
2012-03-26 00:00:00,steps,5807.0
2012-03-06 00:00:00,steps,12583.0
2012-02-15 00:00:00,steps,8066.0
2012-05-05 00:00:00,steps,13389.0
2012-06-14 00:00:00,steps,14158.0
2012-02-11 00:00:00,steps,7636.0
2012-03-02 00:00:00,steps,7108.0
2012-01-02 00:00:00,steps,4814.0
2011-12-13 00:00:00,steps,9803.0
2012-05-01 00:00:00,steps,9765.0
2012-06-10 00:00:00,steps,15545.0
2012-05-08 00:00:00,steps,16431.0
2012-06-17 00:00:00,steps,7800.0
2011-11-23 00:00:00,steps,6562.0
2012-04-04 00:00:00,steps,18781.0
2012-03-15 00:00:00,steps,7847.0
2012-06-03 00:00:00,steps,3944.0
2012-05-14 00:00:00,steps,1752.0
2012-04-24 00:00:00,steps,5365.0
2012-06-23 00:00:00,steps,17528.0
2012-02-24 00:00:00,steps,8313.0
2012-01-15 00:00:00,steps,8947.0
2011-12-06 00:00:00,steps,8789.0
2012-06-16 00:00:00,steps,24283.0
2011-11-22 00:00:00,steps,9580.0
2012-01-21 00:00:00,steps,2226.0
2011-12-12 00:00:00,steps,8287.0
2011-12-19 00:00:00,steps,7924.0
2012-03-28 00:00:00,steps,8121.0
2011-11-29 00:00:00,steps,9286.0
2012-02-17 00:00:00,steps,6839.0
2012-05-07 00:00:00,steps,11381.0
2012-04-17 00:00:00,steps,14132.0
2012-03-08 00:00:00,steps,8799.0
2012-06-29 00:00:00,steps,10563.0
2011-12-05 00:00:00,steps,3454.0
2012-02-23 00:00:00,steps,12305.0
2012-04-03 00:00:00,steps,8384.0
2012-03-14 00:00:00,steps,8950.0
2012-01-14 00:00:00,steps,9300.0
2012-02-10 00:00:00,steps,10227.0
2012-03-01 00:00:00,steps,6283.0
2012-05-20 00:00:00,steps,16537.0
2012-04-30 00:00:00,steps,14458.0
2012-06-09 00:00:00,steps,12796.0
2012-02-26 00:00:00,steps,8633.0
2012-03-17 00:00:00,steps,13238.0
2012-04-26 00:00:00,steps,9102.0
2012-04-06 00:00:00,steps,25541.0
2012-06-25 00:00:00,steps,17921.0
2012-05-03 00:00:00,steps,6763.0
2012-06-12 00:00:00,steps,14259.0
2011-12-08 00:00:00,steps,1334.0
2012-03-30 00:00:00,steps,5627.0
2012-05-09 00:00:00,steps,11418.0
2012-03-10 00:00:00,steps,17465.0
2012-06-18 00:00:00,steps,8289.0
2011-12-01 00:00:00,steps,12833.0
2012-01-30 00:00:00,steps,7791.0
2011-12-21 00:00:00,steps,3494.0
2012-06-11 00:00:00,steps,9389.0
2012-01-16 00:00:00,steps,360.0
2011-12-07 00:00:00,steps,10119.0
2011-12-14 00:00:00,steps,10636.0
2012-03-03 00:00:00,steps,8076.0
2012-02-12 00:00:00,steps,12713.0
2012-05-02 00:00:00,steps,6260.0
2011-12-20 00:00:00,steps,99.0
2012-06-24 00:00:00,steps,8596.0
2012-03-09 00:00:00,steps,7884.0
2012-03-29 00:00:00,steps,8808.0
2011-11-30 00:00:00,steps,5260.0
2012-01-29 00:00:00,steps,8368.0
2012-01-09 00:00:00,steps,6249.0
2012-04-25 00:00:00,steps,12155.0
2012-04-05 00:00:00,steps,9234.0
2012-03-16 00:00:00,steps,8996.0
2012-02-25 00:00:00,steps,10098.0
2012-05-15 00:00:00,steps,6786.0
2011-11-22 00:00:00,nutrition_calories,435.0
2011-11-22 00:00:00,nutrition_carbs,48.1012992858887
2011-11-22 00:00:00,nutrition_fat,15.75
2011-11-22 00:00:00,nutrition_fiber,10.5219993591309
2011-11-22 00:00:00,nutrition_protein,10.5973300933838
2011-11-22 00:00:00,nutrition_sodium,554.286987304688
2012-02-21 00:00:00,sleep_total,367.0
2012-02-11 00:00:00,sleep_total,459.0
2011-12-13 00:00:00,sleep_total,392.0
2011-11-23 00:00:00,sleep_total,246.0
2011-12-03 00:00:00,sleep_total,315.0
2012-03-15 00:00:00,sleep_total,335.0
2012-03-05 00:00:00,sleep_total,387.0
2012-02-14 00:00:00,sleep_total,451.0
2012-01-15 00:00:00,sleep_total,378.0
2011-12-16 00:00:00,sleep_total,253.0
2011-12-06 00:00:00,sleep_total,447.0
2011-12-02 00:00:00,sleep_total,365.0
2011-11-22 00:00:00,sleep_total,385.0
2012-01-21 00:00:00,sleep_total,418.0
2011-12-12 00:00:00,sleep_total,384.0
2011-11-29 00:00:00,sleep_total,417.0
2012-06-26 00:00:00,sleep_total,336.0
2012-02-27 00:00:00,sleep_total,416.0
2012-02-17 00:00:00,sleep_total,412.0
2012-03-08 00:00:00,sleep_total,364.0
2011-12-15 00:00:00,sleep_total,400.0
2012-02-23 00:00:00,sleep_total,374.0
2012-02-13 00:00:00,sleep_total,340.0
2012-01-14 00:00:00,sleep_total,438.0
2012-03-01 00:00:00,sleep_total,372.0
2012-05-10 00:00:00,sleep_total,514.0
2012-02-16 00:00:00,sleep_total,431.0
